@RELATION BugPrediction-unified-class.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE numberOfVersionsUntil NUMERIC
    @ATTRIBUTE numberOfFixesUntil NUMERIC
    @ATTRIBUTE numberOfRefactoringsUntil NUMERIC
    @ATTRIBUTE numberOfAuthorsUntil NUMERIC
    @ATTRIBUTE linesAddedUntil NUMERIC
    @ATTRIBUTE maxLinesAddedUntil NUMERIC
    @ATTRIBUTE avgLinesAddedUntil NUMERIC
    @ATTRIBUTE linesRemovedUntil NUMERIC
    @ATTRIBUTE maxLinesRemovedUntil NUMERIC
    @ATTRIBUTE avgLinesRemovedUntil NUMERIC
    @ATTRIBUTE codeChurnUntil NUMERIC
    @ATTRIBUTE maxCodeChurnUntil NUMERIC
    @ATTRIBUTE avgCodeChurnUntil NUMERIC
    @ATTRIBUTE ageWithRespectTo NUMERIC
    @ATTRIBUTE weightedAgeWithRespectTo NUMERIC
    @ATTRIBUTE cbo NUMERIC
    @ATTRIBUTE dit NUMERIC
    @ATTRIBUTE fanIn NUMERIC
    @ATTRIBUTE fanOut NUMERIC
    @ATTRIBUTE lcom NUMERIC
    @ATTRIBUTE noc NUMERIC
    @ATTRIBUTE numberOfAttributes NUMERIC
    @ATTRIBUTE numberOfAttributesInherited NUMERIC
    @ATTRIBUTE numberOfLinesOfCode NUMERIC
    @ATTRIBUTE numberOfMethods NUMERIC
    @ATTRIBUTE numberOfMethodsInherited NUMERIC
    @ATTRIBUTE numberOfPrivateAttributes NUMERIC
    @ATTRIBUTE numberOfPrivateMethods NUMERIC
    @ATTRIBUTE numberOfPublicAttributes NUMERIC
    @ATTRIBUTE numberOfPublicMethods NUMERIC
    @ATTRIBUTE rfc NUMERIC
    @ATTRIBUTE wmc NUMERIC
    @ATTRIBUTE CvsEntropy NUMERIC
    @ATTRIBUTE CvsWEntropy NUMERIC
    @ATTRIBUTE CvsLinEntropy NUMERIC
    @ATTRIBUTE CvsLogEntropy NUMERIC
    @ATTRIBUTE CvsExpEntropy NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0.287179,3,12,3,0.212121,0.25,14,12,1,4,4,10,4,1,1,4,6,0.5,0.272727,18,3,1,1,0.272727,18,0,0,0,0,0,48,66,12,0,12,0,2,11,1,0,2,21,11,1,0,48,66,12,0,12,0,2,11,1,0,2,21,11,1,0,13,0,0,3,39.0,15.0,3.0,40.0,15.0,3.07692,-1.0,3.0,-0.0769231,67.5714,36.6264,7.04133,0.00441852,0.180812,9.30286,0.345786,6,1,1,5,1,0,12,0,38.0,2.0,9,1,1,0.0,1,18.0,7.0,false
    0,0,0,0,0,0,0,0,3,5,5,35,9,6,4,16,26,0.5,0.306122,60,30,5,5,0.306122,60,0,0,0,0,0,136,209,20,6,20,6,10,18,9,0,10,65,18,9,0,136,209,20,6,20,6,10,18,9,0,10,65,18,9,0,65,1,3,3,1224.0,325.0,18.8308,856.0,143.0,13.1692,368.0,322.0,5.66154,164.0,32.4581,33.003,0.705362,0.260047,10.0299,0.492865,16,1,5,11,45,0,20,0,127.0,10.0,0,2,1,0.0,9,60.0,30.0,false
    0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0.5,0.444444,4,3,1,1,0.444444,4,1,1,0,0,1,5,8,2,0,0,0,1,0,1,0,5,1,0,5,0,5,8,2,0,0,0,1,0,1,0,5,1,0,5,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.71429,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4.0,1.0,4,0,0,0.0,1,1.0,1.0,false
    0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0.5,0.375,3,3,1,1,0.375,3,1,1,0,0,1,5,7,2,0,0,0,1,0,1,0,5,1,0,5,0,5,7,2,0,0,0,1,0,1,0,5,1,0,5,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.71429,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.0,1.0,4,0,0,0.0,1,1.0,1.0,false
    0,0,0,0,0,0,0,0,2,2,2,15,4,2,2,4,8,0.2,0.0983607,6,3,1,4,0.0789474,6,0,0,2,2,0,55,62,2,0,2,0,4,0,4,0,4,32,0,4,0,70,78,2,0,2,0,6,0,6,0,6,38,0,6,0,5,0,0,2,57.0,40.0,11.4,16.0,13.0,3.2,41.0,27.0,8.2,13.5714,3.89474,0,0,0,0,0,4,1,0,4,6,2,2,0,67.0,4.0,0,2,0,0.0,4,17.0,8.0,false
    0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0.0625,1,0,0,2,0.0625,1,0,0,0,0,0,15,25,7,0,7,0,1,6,1,0,1,1,6,1,0,15,25,7,0,7,0,1,6,1,0,1,1,6,1,0,2,0,0,1,20.0,20.0,10.0,12.0,12.0,6.0,8.0,8.0,4.0,13.0,0.428571,0,0,0,0,0,0,1,0,0,0,0,7,0,3.0,1.0,0,1,0,6.0,1,2.0,1.0,false
    0.21286,1,4,2,0.185841,0.203883,21,21,1,6,5,15,12,5,3,13,16,0.333333,0.134146,11,3,1,2,0.0964912,11,0,0,0,0,0,71,80,4,1,4,1,3,0,2,0,3,39,0,2,0,103,113,4,1,4,1,6,0,5,0,6,55,0,5,0,5,0,0,2,70.0,36.0,14.0,54.0,23.0,10.8,16.0,13.0,3.2,13.5714,6.27755,0,0,0,0,0,16,1,1,15,3,0,4,0,96.0,3.0,0,4,0,0.0,2,37.0,4.0,false
    0.746377,2,9,2,0.650794,0.705882,41,36,1,2,2,7,9,2,1,12,14,0.333333,0.0769231,3,3,1,2,0.0555556,3,1,1,0,0,1,36,47,9,7,2,0,2,0,2,0,24,21,0,19,4,51,63,9,7,2,0,3,0,3,0,25,29,0,20,4,4,0,0,2,8.0,4.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,41.2857,7.96429,3.37801,0.00157772,0.154967,9.16485,0.247924,4,2,0,4,1,0,2,0,54.0,2.0,32,2,0,0.0,2,21.0,4.0,false
    0,0,0,0,0,0,0,0,1,1,1,5,7,2,1,6,9,0.333333,0.0909091,3,3,1,2,0.0655738,4,1,1,0,0,1,30,37,8,7,1,0,3,0,2,0,25,17,0,19,4,57,74,8,7,1,0,5,0,4,0,27,33,0,21,4,5,0,0,2,23.0,11.0,4.6,3.0,1.0,0.6,20.0,10.0,4.0,42.0,4.0559,3.4091,0.0023733,0.153414,9.16273,0.242476,2,2,0,2,3,0,1,0,64.0,3.0,32,1,0,0.0,2,12.0,8.0,false
    0.211896,1,5,1,0.117318,0.2125,21,17,1,2,2,16,10,1,1,23,27,0.333333,0.52381,88,7,1,2,0.52381,88,1,1,0,0,1,80,179,7,7,1,0,4,0,2,0,23,50,0,13,6,80,179,7,7,1,0,4,0,2,0,23,50,0,13,6,10,1,0,3,133.0,90.0,13.3,21.0,5.0,2.1,112.0,89.0,11.2,42.0,2.67025,5.39677,0.0125343,0.181826,9.26485,0.350936,8,2,0,8,6,0,1,1,84.0,4.0,19,1,1,0.0,2,53.0,16.0,false
    0,0,0,0,0,0,0,0,1,3,3,16,10,1,1,22,25,0.333333,0.0677966,8,3,1,2,0.0677966,8,1,1,0,0,1,110,132,8,7,2,0,3,0,2,0,22,79,0,13,6,110,132,8,7,2,0,3,0,2,0,22,79,0,13,6,9,1,0,3,34.0,10.0,3.77778,22.0,10.0,2.44444,12.0,5.0,1.33333,40.8571,5.52521,4.0537,0.00737457,0.16462,9.19955,0.285007,9,2,0,9,3,0,2,1,120.0,3.0,19,2,1,0.0,2,66.0,13.0,false
    0.172164,1,8,2,0.123377,0.142857,38,36,4,3,3,32,20,6,5,29,39,0.5,0.168919,25,16,2,2,0.121951,35,2,2,1,1,1,123,167,44,15,4,1,10,2,3,0,75,61,18,47,6,252,308,53,24,4,3,16,2,9,0,106,135,21,78,9,27,2,0,4,423.0,168.0,15.6667,94.0,22.0,3.48148,329.0,166.0,12.1852,42.0,23.9618,5.64478,0.0171958,0.206252,9.31996,0.395747,12,3,2,11,36,1,4,16,166.0,9.0,48,2,3,0.0,2,74.0,22.0,true
    0,0,0,0,0,0,0,0,2,1,1,9,10,1,1,5,11,0.142857,0.108108,4,3,1,6,0.108108,4,1,1,1,1,1,33,40,5,7,0,4,6,0,6,0,10,10,4,10,1,33,40,5,7,0,4,6,0,6,0,10,10,4,10,1,6,0,0,3,12.0,4.0,2.0,8.0,3.0,1.33333,4.0,3.0,0.666667,42.0,8.10714,4.15475,0.00152706,0.162734,9.19857,0.279504,6,2,1,5,15,1,0,4,25.0,6.0,17,0,0,0.0,6,15.0,9.0,false
    0,0,0,0,0,0,0,0,2,0,0,7,5,1,1,9,16,0.142857,0.116667,7,5,1,6,0.1,7,1,1,0,0,1,53,73,12,9,5,2,7,0,6,1,29,23,0,23,5,63,83,12,9,5,2,9,0,8,1,31,25,0,25,5,4,0,0,2,24.0,17.0,6.0,4.0,3.0,1.0,20.0,17.0,5.0,39.5714,5.4881,3.37801,0.00247627,0.154967,9.16485,0.247924,3,2,0,3,21,0,5,0,57.0,7.0,32,5,0,0.0,6,23.0,7.0,false
    0.0690691,1,4,1,0.0816327,0.09375,12,12,1,3,3,26,8,3,3,20,28,0.125,0.139535,18,3,1,7,0.129252,19,1,1,0,0,1,111,128,10,10,3,3,8,0,7,2,30,68,0,24,6,128,147,10,10,3,3,11,0,10,2,33,76,0,27,6,4,0,0,1,26.0,14.0,6.5,17.0,14.0,4.25,9.0,5.0,2.25,13.5714,2.21978,0,0,0,0,0,5,2,0,5,28,0,3,0,129.0,8.0,32,3,1,0.0,7,86.0,18.0,false
    0,0,0,0,0,0,0,0,1,3,3,10,2,3,2,0,4,0.25,0.0909091,6,3,1,3,0.0638298,6,0,0,0,0,0,60,87,3,2,3,2,4,0,3,0,4,39,0,3,0,88,124,3,5,3,5,11,0,10,0,11,48,0,10,0,7,1,0,3,22.0,11.0,3.14286,18.0,7.0,2.57143,4.0,11.0,0.571429,87.8571,62.026,4.42588,0.00361953,0.154945,9.18898,0.240305,6,1,1,5,6,0,3,0,98.0,4.0,0,3,0,0.0,3,26.0,7.0,false
    0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,1,0,0.0454545,1,0,0,2,0.0454545,1,0,0,0,0,0,21,36,13,0,13,0,1,12,1,0,1,1,12,1,0,21,36,13,0,13,0,1,12,1,0,1,1,12,1,0,3,1,0,2,2.0,2.0,0.666667,2.0,2.0,0.666667,0.0,2.0,0.0,13.0,3.42857,0,0,0,0,0,0,1,0,0,0,0,13,0,3.0,1.0,0,1,0,12.0,1,2.0,1.0,false
    0.306891,16,111,44,0.243603,0.281016,457,376,5,33,5,226,16,13,13,33,72,0.2,0.243293,399,57,4,16,0.235865,413,2,2,0,0,1,1241,1763,77,13,74,10,39,0,19,4,52,904,0,31,7,1338,1876,79,13,76,10,52,0,31,4,65,938,0,43,7,130,1,3,3,3750.0,444.0,28.8462,3010.0,377.0,23.1538,740.0,332.0,5.69231,164.0,63.7676,38.7367,1.90771,0.273191,10.1836,0.512123,27,3,5,23,595,0,75,0,1448.0,35.0,14,50,15,1.0,16,415.0,165.0,true
    0.415254,1,3,1,0.275862,0.407407,16,11,2,2,2,7,1,0,0,0,2,1,0.5,27,19,3,0,0.5,27,0,0,0,0,0,27,58,0,0,0,0,2,0,2,0,2,13,0,2,0,27,58,0,0,0,0,2,0,2,0,2,13,0,2,0,7,0,0,2,15.0,6.0,2.14286,17.0,8.0,2.42857,-2.0,3.0,-0.285714,148.571,82.3333,5.5048,0.00223878,0.157879,9.21892,0.243226,2,1,0,2,1,0,0,0,36.0,2.0,0,0,0,0.0,2,10.0,5.0,false
    0.293413,1,3,1,0.213333,0.314286,16,11,2,4,4,10,1,0,0,0,2,1,0.477612,32,19,3,0,0.477612,32,0,0,0,0,0,35,75,0,0,0,0,2,0,2,0,2,19,0,2,0,35,75,0,0,0,0,2,0,2,0,2,19,0,2,0,7,0,0,2,15.0,6.0,2.14286,17.0,8.0,2.42857,-2.0,3.0,-0.285714,148.571,82.3333,5.5048,0.00223878,0.157879,9.21892,0.243226,2,1,0,2,1,0,0,0,53.0,2.0,0,0,0,0.0,2,12.0,8.0,false
    0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,1,0,0.0188679,1,0,0,2,0.0188679,1,0,0,0,0,0,52,98,44,0,44,0,1,43,1,0,1,1,43,1,0,52,98,44,0,44,0,1,43,1,0,1,1,43,1,0,4,2,0,2,20.0,18.0,5.0,6.0,2.0,1.5,14.0,16.0,3.5,13.0,2.31429,0,0,0,0,0,0,1,0,0,0,0,44,0,3.0,1.0,0,1,0,43.0,1,2.0,1.0,false
    0,0,0,0,0,0,0,0,3,5,4,39,24,0,0,17,34,0.0625,0.10828,17,3,1,15,0.10828,17,1,1,0,0,1,140,172,5,27,3,13,17,0,15,0,34,67,0,32,0,140,172,5,27,3,13,17,0,15,0,34,67,0,32,0,42,0,1,3,442.0,165.0,10.5238,326.0,65.0,7.7619,116.0,111.0,2.7619,133.571,73.1603,9.5246,0.0385125,0.194387,9.38645,0.385804,17,2,0,17,136,0,3,0,131.0,17.0,31,3,2,0.0,15,73.0,38.0,false
    0,0,0,0,0,0,0,0,1,1,1,9,1,0,0,0,6,0.2,0.0958904,7,5,1,4,0.0958904,7,0,0,0,0,0,66,88,7,3,7,3,6,0,4,0,6,40,0,4,0,66,88,7,3,7,3,6,0,4,0,6,40,0,4,0,7,0,1,3,23.0,6.0,3.28571,14.0,4.0,2.0,9.0,5.0,1.28571,164.0,99.5466,6.55674,0.00759501,0.159372,9.24365,0.243327,0,1,0,0,15,0,7,0,64.0,6.0,0,7,0,0.0,4,12.0,9.0,false
    0,0,0,0,0,0,0,0,2,2,2,10,7,3,3,7,14,0.125,0.0684932,5,5,1,7,0.0657895,5,2,2,0,0,1,68,89,10,4,7,1,7,0,7,0,20,37,0,19,3,71,92,10,4,7,1,8,0,8,0,21,38,0,20,3,37,0,0,3,154.0,45.0,4.16216,153.0,52.0,4.13513,1.0,9.0,0.027027,152.714,73.936,20.3292,0.0626741,0.201024,9.62892,0.320941,4,3,1,3,15,0,7,0,57.0,6.0,14,7,0,0.0,6,20.0,9.0,false
    0,0,0,0,0,0,0,0,1,1,1,4,4,1,1,3,6,0.25,0.0638298,3,3,1,3,0.0638298,3,0,0,0,0,0,44,60,9,1,9,1,3,0,3,0,3,25,0,3,0,44,60,9,1,9,1,3,0,3,0,3,25,0,3,0,20,0,0,3,47.0,6.0,2.35,43.0,5.0,2.15,4.0,3.0,0.2,152.714,60.3708,11.6425,0.0160803,0.170706,9.37683,0.251909,3,1,1,2,3,0,9,0,35.0,3.0,0,9,0,0.0,3,12.0,4.0,false
    0.187552,1,8,2,0.140468,0.163265,42,40,3,2,2,33,11,5,2,21,30,0.25,0.0532544,9,4,1,3,0.0392157,10,3,3,0,0,1,160,199,80,22,14,2,9,0,3,0,90,90,0,59,18,245,299,82,23,15,2,16,0,9,0,99,129,0,67,19,102,0,3,3,1624.0,201.0,15.9216,1228.0,161.0,12.0392,396.0,125.0,3.88235,161.857,53.5477,35.5302,0.848744,0.256114,10.0764,0.451404,10,4,1,9,36,0,14,25,198.0,9.0,78,11,2,0.0,3,73.0,28.0,false
    0,0,0,0,0,0,0,0,1,3,3,14,11,1,1,27,31,0.25,0.118182,13,3,1,3,0.130137,19,1,1,0,0,1,97,109,15,1,4,0,4,0,3,0,15,62,0,9,5,127,143,15,1,4,0,10,0,9,0,21,76,0,15,5,3,0,0,1,19.0,15.0,6.33333,19.0,15.0,6.33333,0.0,0.0,0.0,13.5714,0.451128,0,0,0,0,0,10,2,1,9,6,0,4,0,126.0,4.0,6,4,1,0.0,3,53.0,8.0,false
    0,0,0,0,0,0,0,0,2,1,1,9,7,0,0,2,7,0.166667,0.148936,7,4,1,5,0.148936,7,1,1,0,0,1,40,49,6,3,3,3,5,0,5,0,5,14,3,5,0,40,49,6,3,3,3,5,0,5,0,5,14,3,5,0,8,0,0,3,26.0,7.0,3.25,25.0,12.0,3.125,1.0,4.0,0.125,42.0,5.98901,4.15475,0.00383876,0.162734,9.19857,0.279504,4,2,0,4,10,0,3,3,30.0,5.0,14,3,0,0.0,5,23.0,9.0,false
    0,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,1,0,0.0263158,1,0,0,2,0.0263158,1,0,0,0,0,0,37,68,29,0,29,0,1,28,1,0,1,1,28,1,0,37,68,29,0,29,0,1,28,1,0,1,1,28,1,0,3,1,0,2,1.0,1.0,0.333333,17.0,16.0,5.66667,-16.0,0.0,-5.33333,13.0,0,0,0,0,0,0,0,1,0,0,0,0,29,0,3.0,1.0,0,1,0,28.0,1,2.0,1.0,false
    0,0,0,0,0,0,0,0,1,6,4,43,0,0,0,0,10,1,0.528875,174,111,8,0,0.528875,174,0,0,0,0,0,155,352,4,8,4,8,10,0,7,0,10,114,0,7,0,155,352,4,8,4,8,10,0,7,0,10,114,0,7,0,10,0,1,3,87.0,23.0,8.7,89.0,22.0,8.9,-2.0,3.0,-0.2,164.0,124.591,6.86328,0.0144037,0.161078,9.25516,0.245374,3,1,1,2,28,0,4,0,134.0,8.0,9,4,3,0.0,5,29.0,25.0,false
    0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.0454545,1,0,0,2,0.0454545,1,0,0,0,0,0,21,25,13,0,13,0,1,12,1,0,1,1,12,1,0,21,25,13,0,13,0,1,12,1,0,1,1,12,1,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,3.0,1.0,0,1,0,12.0,1,2.0,1.0,false
    0,0,0,0,0,0,0,0,1,6,6,22,10,1,1,9,12,0.333333,0.152174,14,7,1,2,0.14,14,1,1,0,0,1,78,96,3,4,1,1,3,0,2,0,11,44,0,9,0,86,104,3,48,1,3,5,0,4,0,57,46,0,55,0,39,0,0,3,319.0,106.0,8.17949,338.0,101.0,8.66667,-19.0,22.0,-0.487179,129.857,84.9664,18.4529,0.0617338,0.21225,9.61644,0.386049,10,2,1,9,3,0,1,0,84.0,3.0,7,1,0,0.0,2,36.0,3.0,true
    0.483221,4,16,4,0.373626,0.438356,34,32,1,4,3,18,3,2,3,3,9,0.2,0.120482,10,3,1,4,0.120482,10,0,0,0,0,0,73,91,5,0,5,0,6,0,4,0,6,38,0,4,0,73,91,5,0,5,0,6,0,4,0,6,38,0,4,0,8,0,0,2,18.0,6.0,2.25,11.0,6.0,1.375,7.0,3.0,0.875,46.0,15.5238,6.31013,0.00240178,0.1853,9.29392,0.368531,6,1,2,5,15,0,5,0,72.0,6.0,9,5,2,0.0,4,32.0,14.0,true
    0,0,0,0,0,0,0,0,3,8,4,41,0,10,12,0,7,0.6,0.226277,31,14,3,2,0.226277,31,0,0,0,0,0,106,124,0,2,0,2,7,0,4,0,7,70,0,4,0,106,124,0,2,0,2,7,0,4,0,7,70,0,4,0,8,0,0,3,49.0,29.0,6.125,16.0,9.0,2.0,33.0,29.0,4.125,46.0,7.44606,4.88878,0.00378392,0.166327,9.22338,0.29442,12,1,9,3,21,0,0,0,102.0,7.0,9,0,3,0.0,4,44.0,41.0,false
    0,0,0,0,0,0,0,0,2,4,4,30,2,4,4,1,8,0.571429,0.282486,50,35,4,3,0.282486,50,0,0,0,0,0,127,186,0,0,0,0,7,0,6,0,7,80,0,6,0,127,186,0,0,0,0,7,0,6,0,7,80,0,6,0,6,0,0,3,88.0,44.0,14.6667,64.0,28.0,10.6667,24.0,16.0,4.0,46.0,31.6981,3.32672,0.00483895,0.149833,9.15394,0.227553,15,1,3,12,10,0,0,0,137.0,5.0,9,0,1,0.0,4,74.0,24.0,true
    0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,3,0.25,0.347826,8,6,1,3,0.347826,8,0,0,0,0,0,15,21,2,2,2,2,3,0,3,0,3,5,0,3,0,15,21,2,2,2,2,3,0,3,0,3,5,0,3,0,3,0,0,2,6.0,4.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,40.5714,17.9048,1.84703,9.48744e-4,0.136921,9.09329,0.175609,3,1,3,0,3,0,2,1,11.0,3.0,12,2,0,0.0,3,3.0,3.0,false
    0,0,0,0,0,0,0,0,1,2,2,9,0,1,1,0,5,0.2,0.264706,9,9,1,4,0.264706,9,0,0,0,0,0,25,34,0,1,0,1,5,0,4,1,5,9,0,4,1,25,34,0,1,0,1,5,0,4,1,5,9,0,4,1,2,0,0,1,5.0,5.0,2.5,1.0,1.0,0.5,4.0,4.0,2.0,45.8571,19.2857,1.84703,0.00113849,0.136921,9.09329,0.175609,1,1,0,1,6,0,0,0,19.0,4.0,0,0,1,0.0,3,11.0,8.0,false
    0,0,0,0,0,0,0,0,1,2,2,14,0,5,8,0,8,0.222222,0.19697,13,12,2,7,0.19697,13,0,0,0,0,0,53,73,6,3,6,3,8,1,8,1,8,21,1,8,1,53,73,6,3,6,3,8,1,8,1,8,21,1,8,1,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.8571,0,0,0,0,0,0,10,1,5,5,28,0,6,0,43.0,8.0,0,5,0,0.0,8,21.0,14.0,false
    0,0,0,0,0,0,0,0,2,2,2,10,0,1,1,0,5,0.666667,0.418919,31,27,4,2,0.418919,31,0,0,0,0,0,43,74,5,0,5,0,5,0,5,0,5,19,0,5,0,43,74,5,0,5,0,5,0,5,0,5,19,0,5,0,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.8571,0,0,0,0,0,0,2,1,0,2,6,0,5,2,33.0,4.0,57,0,0,5.0,4,8.0,9.0,false
    0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0833333,1,0,0,1,0.0833333,1,0,0,0,0,0,11,20,6,0,6,0,0,5,0,0,0,0,5,0,0,11,20,6,0,6,0,0,5,0,0,0,0,5,0,0,4,1,0,2,2.0,1.0,0.5,5.0,4.0,1.25,-3.0,1.0,-0.75,45.8571,23.5714,1.84703,1.89749e-4,0.136921,9.09329,0.175609,0,1,0,0,0,0,6,0,0.0,0.0,0,1,0,5.0,0,0.0,0.0,false
    0.301932,2,15,3,0.145374,0.253846,33,33,1,4,4,38,2,1,1,1,9,1,0.434783,100,91,7,0,0.434783,100,0,0,0,0,0,130,227,4,0,4,0,8,0,6,1,8,67,0,6,1,130,227,4,0,4,0,8,0,6,1,8,67,0,6,1,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.8571,0,0,0,0,0,0,6,1,1,5,21,0,4,1,105.0,7.0,26,4,1,0.0,5,28.0,27.0,false
    0.0977444,1,5,1,0.0528846,0.0852713,11,11,1,4,4,31,1,0,0,0,7,1,0.4,86,77,7,0,0.4,86,0,0,0,0,0,129,208,4,0,4,0,7,0,6,1,7,74,0,6,1,129,208,4,0,4,0,7,0,6,1,7,74,0,6,1,2,0,0,1,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,45.8571,19.2857,1.84703,1.89749e-4,0.136921,9.09329,0.175609,3,1,0,3,15,0,4,1,100.0,6.0,35,4,1,0.0,5,23.0,22.0,false
    0,0,0,0,0,0,0,0,1,1,1,5,1,1,1,1,5,0.2,0.166667,5,3,1,4,0.166667,5,0,0,0,0,0,25,34,2,0,2,0,4,0,4,0,4,10,0,4,0,25,34,2,0,2,0,4,0,4,0,4,10,0,4,0,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.8571,0,0,0,0,0,0,3,1,1,3,1,0,2,0,15.0,2.0,9,2,0,0.0,2,9.0,3.0,false
    0,0,0,0,0,0,0,0,1,1,1,6,2,1,1,6,11,0.166667,0.117647,4,3,1,5,0.117647,4,0,0,0,0,0,30,39,2,0,2,0,5,0,5,0,5,12,0,5,0,30,39,2,0,2,0,5,0,5,0,5,12,0,5,0,3,0,0,2,5.0,4.0,1.66667,2.0,1.0,0.666667,3.0,3.0,1.0,45.8571,21.6286,1.84703,9.48744e-4,0.136921,9.09329,0.175609,4,1,1,4,1,0,2,0,15.0,2.0,9,2,0,0.0,2,11.0,3.0,false
    0,0,0,0,0,0,0,0,2,2,2,15,0,0,0,0,8,1,0.423077,55,55,7,0,0.423077,55,0,0,0,0,0,75,136,6,0,6,0,8,0,6,0,8,37,0,6,0,75,136,6,0,6,0,8,0,6,0,8,37,0,6,0,2,0,0,1,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,45.8571,19.2857,1.84703,1.89749e-4,0.136921,9.09329,0.175609,1,1,0,1,21,0,6,1,53.0,7.0,26,6,1,0.0,5,17.0,10.0,false
    0,0,0,0,0,0,0,0,1,2,2,15,2,3,7,1,9,0.25,0.222222,20,12,2,6,0.222222,20,0,0,0,0,0,70,91,6,2,6,2,8,0,7,0,8,34,0,7,0,70,91,6,2,6,2,8,0,7,0,8,34,0,7,0,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.8571,0,0,0,0,0,0,13,1,3,10,10,0,6,0,41.0,5.0,9,5,1,1.0,4,27.0,8.0,false
